8135000,Mezclas de frutas u otros frutos secos,f,69
8134000,Las demas frutas u otros frutos.,f,68
8132000,Ciruelas.,f,59
8131000,Albaricoques (damascos chabacanos).,f,57
8119000,Los demas.,f,65
8112000,Frambuesas zarzamoras moras ,f,65
8111000,Fresas (frutillas).,f,60
8109090,Otros.,f,63
8109054,Sin cascara,f,63
8109030,Maracuy ,f,63
8109020,Anonas (Annona squamosa),f,62
8105000,Kiwis.,f,61
8101000,Fresas (frutillas).,f,60
8094000,Ciruelas y endrinas.,f,59
8093000,Melocotones (duraznos) ,f,58
8092900,las demas,f,57
8091000,Albaricoques (damascos chabacanos).,f,57
8083000,Peras,f,56
8081000,Manzanas.,f,55
8072000,Papayas.,f,54
8071900,Los demas.,f,53
8071100,Sandias.,f,52
8062000,Secas incluidas las pasas.,f,51
8061000,Frescas.,f,51
8059000,Los demas.,f,50
8055000,Limones (Citrus limon Citrus limonum),f,49
8054000,Toronjas o pomelos.,f,48
8052000,Mandarinas (incluidas las tangerinas y satsumas),f,47
8051000,Naranjas.,f,46
8045020,Guayabas y mangostanes,f,45
8045010,Mangos,f,44
8044000,Aguacates (paltas).,f,43
8043000,Pinias tropicales (ananas).,f,42
8042000,Higos.,f,41
8041000,Datiles.,f,41
8039011,Frescas,f,40
8031000, Platanos,f,40
8029000,Los demas,f,38
8023200,Sin cascara.,f,38
8023100,Con cascara.,f,38
8021200,Sin cascara.,f,38
8013200,Sin cascara.,f,38
8013100,Con cascara.,f,38
8012200,Sin cascara.,f,38
8011900,Los demas.,f,39
8011100,Secos.,f,38
7143020,niames (Dioscorea alata),f,37
7142000,Camotes (batatas boniatos).,f,36
7141000,Raices de yuca (mandioca).,f,35
7139000,las demas,f,34
7134000,Lentejas.,f,34
7133390,Otros,f,12
7133340,Rojos,f,12
7133330,Granos de frijol ejotero(phaseolus vulgaris)para la siembra,f,12
7133320,Blancos,f,12
7133310,Negros,f,12
7133200,"Adzuki (""rojos pequenios"") ",f,12
7132000,Garbanzos.,f,32
7131090,Otras,f,26
7129090,Otras incluidas las mezclas de hortalizas.,f,26
7129010,"Tomates perejil mejorana o ajos en polvo en envases, contenido neto >= 5 kg",t,2
7122090,Otras,f,2
7122010,En polvo en envases de contenido >= 5 kg,t,28
7119090,Otras,f,28
7119030,Alcaparras,f,28
7119020,Cebollas,f,2
7112000,Aceitunas.,f,27
7109000,Mezclas de hortalizas.,f,26
7108000,Las demas hortalizas,f,26
7104000,Maiz dulce,f,81
7103000,Espinacas (incluida la de Nueva Zelanda) y armuelles,f,17
7102900,Las demas.,f,12
7102200,Frijoles (judias porotos alubias frijoles) ,f,12
7102100,Arvejas (guisantes chicharos) (Pisum sativum),f,11
7101000,Papas (patatas).,f,22
7099990,Otras,f,21
